Sex,Age,Height,Weight,Sport,Medal
F,14,165,59,Tir à l'arc,L
F,14,165,59,Tir à l'arc,G
F,14,164,61,Tir à l'arc,L
M,15,175,70,Tir à l'arc,L
M,16,157,48,Tir à l'arc,L
M,16,157,48,Tir à l'arc,L
F,16,163,57,Tir à l'arc,L
M,16,170,58,Tir à l'arc,L
F,16,165,59,Tir à l'arc,L
M,16,174,60,Tir à l'arc,L
F,16,162,63,Tir à l'arc,L
F,16,171,75,Tir à l'arc,L
F,16,171,75,Tir à l'arc,L
M,16,183,88,Tir à l'arc,L
M,16,185,113,Tir à l'arc,L
F,17,160,50,Tir à l'arc,L
F,17,165,53,Tir à l'arc,L
F,17,165,53,Tir à l'arc,L
F,17,167,55,Tir à l'arc,G
F,17,167,55,Tir à l'arc,G
F,17,164,56,Tir à l'arc,L
F,17,165,58,Tir à l'arc,G
F,17,165,58,Tir à l'arc,G
M,17,181,60,Tir à l'arc,L
F,17,176,61,Tir à l'arc,L
F,17,176,61,Tir à l'arc,L
F,17,171,61,Tir à l'arc,L
F,17,171,61,Tir à l'arc,L
F,17,171,61,Tir à l'arc,L
F,17,171,61,Tir à l'arc,L
F,17,159,61,Tir à l'arc,L
F,17,159,61,Tir à l'arc,L
F,17,165,66,Tir à l'arc,L
F,17,171,67,Tir à l'arc,G
F,17,155,67,Tir à l'arc,L
F,17,155,67,Tir à l'arc,L
M,17,175,68,Tir à l'arc,L
M,17,173,68,Tir à l'arc,L
F,17,170,68,Tir à l'arc,G
F,17,170,68,Tir à l'arc,G
F,17,166,69,Tir à l'arc,L
M,17,190,71,Tir à l'arc,L
M,17,178,71,Tir à l'arc,L
F,17,175,74,Tir à l'arc,L
F,17,175,74,Tir à l'arc,L
M,17,189,77,Tir à l'arc,L
M,17,182,77,Tir à l'arc,L
M,17,182,77,Tir à l'arc,L
F,17,185,80,Tir à l'arc,L
F,17,185,80,Tir à l'arc,G
M,17,184,84,Tir à l'arc,G
M,17,184,84,Tir à l'arc,L
M,17,178,84,Tir à l'arc,L
M,17,178,84,Tir à l'arc,G
M,17,190,92,Tir à l'arc,L
F,18,160,43,Tir à l'arc,L
F,18,160,43,Tir à l'arc,L
F,18,167,50,Tir à l'arc,L
F,18,164,50,Tir à l'arc,L
F,18,164,50,Tir à l'arc,L
F,18,160,52,Tir à l'arc,L
F,18,160,52,Tir à l'arc,L
F,18,158,53,Tir à l'arc,L
F,18,158,53,Tir à l'arc,L
F,18,167,54,Tir à l'arc,L
F,18,167,54,Tir à l'arc,L
F,18,167,54,Tir à l'arc,L
F,18,174,55,Tir à l'arc,L
F,18,170,55,Tir à l'arc,L
F,18,156,56,Tir à l'arc,L
F,18,169,57,Tir à l'arc,L
F,18,163,57,Tir à l'arc,L
F,18,163,57,Tir à l'arc,L
M,18,172,58,Tir à l'arc,L
M,18,172,58,Tir à l'arc,L
M,18,176,59,Tir à l'arc,L
F,18,165,59,Tir à l'arc,L
F,18,165,59,Tir à l'arc,L
M,18,183,60,Tir à l'arc,L
F,18,164,61,Tir à l'arc,G
F,18,164,61,Tir à l'arc,L
F,18,163,61,Tir à l'arc,L
F,18,163,61,Tir à l'arc,L
F,18,166,62,Tir à l'arc,G
F,18,170,64,Tir à l'arc,L
F,18,170,64,Tir à l'arc,G
F,18,170,64,Tir à l'arc,L
F,18,170,64,Tir à l'arc,L
F,18,166,64,Tir à l'arc,G
F,18,166,64,Tir à l'arc,G
M,18,176,66,Tir à l'arc,L
M,18,176,67,Tir à l'arc,L
M,18,180,69,Tir à l'arc,G
M,18,180,69,Tir à l'arc,G
F,18,176,70,Tir à l'arc,L
M,18,171,70,Tir à l'arc,L
M,18,171,70,Tir à l'arc,L
M,18,175,71,Tir à l'arc,L
M,18,175,71,Tir à l'arc,L
M,18,183,72,Tir à l'arc,L
M,18,182,72,Tir à l'arc,L
M,18,176,72,Tir à l'arc,L
M,18,189,73,Tir à l'arc,G
M,18,174,74,Tir à l'arc,L
M,18,193,75,Tir à l'arc,L
M,18,193,75,Tir à l'arc,L
M,18,178,77,Tir à l'arc,G
M,18,175,77,Tir à l'arc,L
M,18,175,77,Tir à l'arc,L
M,18,172,78,Tir à l'arc,L
M,18,172,78,Tir à l'arc,L
M,18,197,80,Tir à l'arc,L
M,18,197,80,Tir à l'arc,L
F,18,175,81,Tir à l'arc,L
F,18,175,81,Tir à l'arc,L
M,18,185,82,Tir à l'arc,L
M,18,185,82,Tir à l'arc,L
M,18,186,83,Tir à l'arc,L
M,18,196,85,Tir à l'arc,L
M,18,196,85,Tir à l'arc,L
M,18,182,85,Tir à l'arc,L
F,18,167,89,Tir à l'arc,L
F,18,167,89,Tir à l'arc,L
M,18,183,90,Tir à l'arc,L
M,18,183,90,Tir à l'arc,L
M,18,175,90,Tir à l'arc,L
M,18,181,95,Tir à l'arc,L
M,18,180,100,Tir à l'arc,G
M,18,180,100,Tir à l'arc,G
M,18,178,125,Tir à l'arc,L
M,18,178,125,Tir à l'arc,L
F,19,167,45,Tir à l'arc,L
F,19,161,48,Tir à l'arc,L
F,19,161,48,Tir à l'arc,L
F,19,175,52,Tir à l'arc,L
F,19,175,52,Tir à l'arc,L
F,19,165,52,Tir à l'arc,L
F,19,168,54,Tir à l'arc,L
F,19,168,54,Tir à l'arc,L
F,19,165,54,Tir à l'arc,L
F,19,164,54,Tir à l'arc,L
F,19,170,55,Tir à l'arc,L
F,19,170,55,Tir à l'arc,L
F,19,166,55,Tir à l'arc,L
F,19,166,55,Tir à l'arc,L
F,19,160,56,Tir à l'arc,L
F,19,157,56,Tir à l'arc,L
F,19,172,57,Tir à l'arc,L
F,19,171,57,Tir à l'arc,L
F,19,166,57,Tir à l'arc,L
F,19,164,57,Tir à l'arc,L
F,19,164,57,Tir à l'arc,L
F,19,168,58,Tir à l'arc,L
F,19,168,58,Tir à l'arc,L
F,19,170,59,Tir à l'arc,L
F,19,169,59,Tir à l'arc,L
F,19,169,59,Tir à l'arc,L
F,19,165,59,Tir à l'arc,L
M,19,174,60,Tir à l'arc,L
F,19,168,60,Tir à l'arc,L
F,19,167,60,Tir à l'arc,L
F,19,167,60,Tir à l'arc,L
M,19,172,62,Tir à l'arc,L
M,19,172,62,Tir à l'arc,L
M,19,171,62,Tir à l'arc,L
M,19,171,62,Tir à l'arc,L
F,19,169,62,Tir à l'arc,L
F,19,169,62,Tir à l'arc,L
F,19,169,62,Tir à l'arc,L
F,19,168,62,Tir à l'arc,L
F,19,168,62,Tir à l'arc,G
F,19,165,62,Tir à l'arc,L
M,19,180,63,Tir à l'arc,L
M,19,180,63,Tir à l'arc,L
F,19,176,63,Tir à l'arc,L
F,19,176,63,Tir à l'arc,G
M,19,180,64,Tir à l'arc,L
M,19,180,64,Tir à l'arc,G
M,19,169,64,Tir à l'arc,L
M,19,169,64,Tir à l'arc,L
F,19,168,64,Tir à l'arc,L
F,19,168,64,Tir à l'arc,L
M,19,184,65,Tir à l'arc,L
M,19,174,65,Tir à l'arc,L
M,19,174,65,Tir à l'arc,L
M,19,173,65,Tir à l'arc,L
M,19,173,65,Tir à l'arc,L
F,19,164,65,Tir à l'arc,G
F,19,164,65,Tir à l'arc,G
M,19,182,66,Tir à l'arc,L
M,19,175,67,Tir à l'arc,L
M,19,175,67,Tir à l'arc,L
M,19,175,68,Tir à l'arc,G
F,19,170,68,Tir à l'arc,G
F,19,170,68,Tir à l'arc,L
F,19,183,69,Tir à l'arc,L
F,19,183,69,Tir à l'arc,L
M,19,171,69,Tir à l'arc,L
F,19,162,69,Tir à l'arc,L
M,19,171,70,Tir à l'arc,L
M,19,171,70,Tir à l'arc,L
M,19,170,70,Tir à l'arc,L
M,19,180,72,Tir à l'arc,L
M,19,180,72,Tir à l'arc,L
F,19,173,72,Tir à l'arc,L
F,19,173,72,Tir à l'arc,L
M,19,171,72,Tir à l'arc,L
M,19,171,72,Tir à l'arc,L
F,19,164,72,Tir à l'arc,L
F,19,164,72,Tir à l'arc,L
M,19,180,73,Tir à l'arc,L
M,19,182,75,Tir à l'arc,L
M,19,182,75,Tir à l'arc,G
M,19,179,75,Tir à l'arc,L
M,19,179,75,Tir à l'arc,G
M,19,178,75,Tir à l'arc,L
M,19,178,75,Tir à l'arc,L
F,19,163,75,Tir à l'arc,L
F,19,163,75,Tir à l'arc,L
M,19,188,76,Tir à l'arc,L
M,19,183,78,Tir à l'arc,L
M,19,183,78,Tir à l'arc,G
M,19,180,80,Tir à l'arc,L
F,19,170,80,Tir à l'arc,L
F,19,170,80,Tir à l'arc,L
M,19,187,81,Tir à l'arc,L
F,19,162,82,Tir à l'arc,L
F,19,162,82,Tir à l'arc,L
M,19,180,83,Tir à l'arc,L
M,19,188,84,Tir à l'arc,L
M,19,184,85,Tir à l'arc,L
M,19,184,85,Tir à l'arc,G
M,19,181,86,Tir à l'arc,L
M,19,181,86,Tir à l'arc,L
M,19,164,89,Tir à l'arc,L
M,19,184,95,Tir à l'arc,L
M,19,184,95,Tir à l'arc,L
M,19,184,100,Tir à l'arc,L
M,19,184,100,Tir à l'arc,G
M,20,157,48,Tir à l'arc,L
M,20,157,48,Tir à l'arc,L
F,20,161,50,Tir à l'arc,L
F,20,161,50,Tir à l'arc,L
F,20,159,51,Tir à l'arc,L
F,20,159,51,Tir à l'arc,G
F,20,163,52,Tir à l'arc,L
F,20,168,53,Tir à l'arc,L
F,20,168,53,Tir à l'arc,G
F,20,164,53,Tir à l'arc,L
F,20,164,53,Tir à l'arc,L
F,20,168,55,Tir à l'arc,L
F,20,168,55,Tir à l'arc,L
F,20,165,55,Tir à l'arc,L
F,20,164,56,Tir à l'arc,L
F,20,164,56,Tir à l'arc,L
F,20,171,57,Tir à l'arc,L
F,20,171,57,Tir à l'arc,L
F,20,169,57,Tir à l'arc,L
F,20,169,57,Tir à l'arc,G
M,20,170,58,Tir à l'arc,G
M,20,170,58,Tir à l'arc,L
F,20,168,58,Tir à l'arc,L
F,20,168,58,Tir à l'arc,L
F,20,160,59,Tir à l'arc,L
F,20,160,59,Tir à l'arc,L
F,20,160,59,Tir à l'arc,L
F,20,160,59,Tir à l'arc,L
F,20,174,60,Tir à l'arc,L
M,20,174,60,Tir à l'arc,L
M,20,174,60,Tir à l'arc,L
F,20,172,60,Tir à l'arc,L
F,20,172,60,Tir à l'arc,L
F,20,172,60,Tir à l'arc,L
F,20,172,60,Tir à l'arc,L
F,20,170,60,Tir à l'arc,L
F,20,170,60,Tir à l'arc,L
F,20,170,60,Tir à l'arc,L
F,20,164,60,Tir à l'arc,L
F,20,164,60,Tir à l'arc,L
F,20,171,61,Tir à l'arc,L
F,20,171,61,Tir à l'arc,L
F,20,170,61,Tir à l'arc,L
M,20,165,61,Tir à l'arc,L
M,20,165,61,Tir à l'arc,L
F,20,160,61,Tir à l'arc,L
F,20,168,62,Tir à l'arc,L
F,20,168,62,Tir à l'arc,L
F,20,183,63,Tir à l'arc,L
F,20,183,63,Tir à l'arc,L
F,20,175,63,Tir à l'arc,L
F,20,174,63,Tir à l'arc,L
M,20,170,64,Tir à l'arc,L
F,20,169,64,Tir à l'arc,L
M,20,178,65,Tir à l'arc,L
M,20,178,65,Tir à l'arc,L
F,20,176,65,Tir à l'arc,L
F,20,176,65,Tir à l'arc,L
F,20,172,65,Tir à l'arc,L
M,20,171,65,Tir à l'arc,L
M,20,171,65,Tir à l'arc,G
F,20,170,65,Tir à l'arc,G
F,20,170,65,Tir à l'arc,G
F,20,163,65,Tir à l'arc,L
F,20,163,65,Tir à l'arc,L
F,20,162,65,Tir à l'arc,L
M,20,176,66,Tir à l'arc,L
M,20,180,67,Tir à l'arc,L
M,20,180,67,Tir à l'arc,L
M,20,169,68,Tir à l'arc,L
M,20,169,68,Tir à l'arc,L
F,20,165,69,Tir à l'arc,L
F,20,165,69,Tir à l'arc,L
M,20,180,70,Tir à l'arc,L
M,20,180,70,Tir à l'arc,G
M,20,178,70,Tir à l'arc,L
M,20,178,70,Tir à l'arc,L
M,20,176,70,Tir à l'arc,L
M,20,172,70,Tir à l'arc,L
M,20,172,70,Tir à l'arc,L
M,20,177,71,Tir à l'arc,L
M,20,177,71,Tir à l'arc,L
F,20,168,71,Tir à l'arc,L
F,20,168,71,Tir à l'arc,L
M,20,180,73,Tir à l'arc,L
F,20,170,73,Tir à l'arc,L
F,20,170,73,Tir à l'arc,L
M,20,193,75,Tir à l'arc,L
F,20,183,75,Tir à l'arc,L
F,20,183,75,Tir à l'arc,L
M,20,178,75,Tir à l'arc,L
M,20,178,75,Tir à l'arc,L
M,20,178,75,Tir à l'arc,L
M,20,178,75,Tir à l'arc,L
M,20,176,75,Tir à l'arc,L
M,20,171,75,Tir à l'arc,L
M,20,171,75,Tir à l'arc,L
F,20,171,75,Tir à l'arc,L
F,20,171,75,Tir à l'arc,L
M,20,186,76,Tir à l'arc,L
M,20,175,76,Tir à l'arc,L
F,20,169,76,Tir à l'arc,L
F,20,169,76,Tir à l'arc,L
M,20,188,77,Tir à l'arc,L
M,20,188,77,Tir à l'arc,L
M,20,185,77,Tir à l'arc,L
M,20,185,77,Tir à l'arc,G
M,20,183,77,Tir à l'arc,L
M,20,181,78,Tir à l'arc,L
M,20,181,78,Tir à l'arc,G
M,20,178,78,Tir à l'arc,L
M,20,178,78,Tir à l'arc,L
M,20,195,80,Tir à l'arc,L
M,20,195,80,Tir à l'arc,L
M,20,171,80,Tir à l'arc,L
M,20,171,80,Tir à l'arc,L
M,20,181,81,Tir à l'arc,L
M,20,181,81,Tir à l'arc,L
M,20,183,84,Tir à l'arc,L
M,20,178,87,Tir à l'arc,L
M,20,178,87,Tir à l'arc,L
M,20,180,88,Tir à l'arc,L
M,20,174,89,Tir à l'arc,L
M,20,174,89,Tir à l'arc,L
M,20,180,90,Tir à l'arc,L
M,20,180,90,Tir à l'arc,G
M,20,180,91,Tir à l'arc,L
M,20,186,96,Tir à l'arc,L
M,20,181,110,Tir à l'arc,L
M,20,181,110,Tir à l'arc,G
F,21,163,45,Tir à l'arc,L
F,21,163,48,Tir à l'arc,L
F,21,162,48,Tir à l'arc,L
F,21,162,48,Tir à l'arc,L
F,21,157,49,Tir à l'arc,L
F,21,167,52,Tir à l'arc,L
F,21,167,52,Tir à l'arc,L
F,21,165,52,Tir à l'arc,L
F,21,156,52,Tir à l'arc,G
F,21,172,53,Tir à l'arc,L
F,21,172,53,Tir à l'arc,L
F,21,168,53,Tir à l'arc,L
F,21,168,53,Tir à l'arc,L
F,21,165,53,Tir à l'arc,L
M,21,168,54,Tir à l'arc,L
F,21,166,54,Tir à l'arc,L
F,21,167,55,Tir à l'arc,L
F,21,167,55,Tir à l'arc,G
M,21,163,55,Tir à l'arc,L
M,21,163,55,Tir à l'arc,L
F,21,161,55,Tir à l'arc,L
F,21,160,55,Tir à l'arc,L
F,21,165,56,Tir à l'arc,L
F,21,165,56,Tir à l'arc,G
F,21,164,56,Tir à l'arc,L
F,21,167,57,Tir à l'arc,L
F,21,163,57,Tir à l'arc,L
F,21,181,58,Tir à l'arc,L
F,21,181,58,Tir à l'arc,L
F,21,175,58,Tir à l'arc,L
F,21,175,58,Tir à l'arc,L
F,21,169,58,Tir à l'arc,L
F,21,169,58,Tir à l'arc,G
F,21,165,58,Tir à l'arc,L
F,21,165,58,Tir à l'arc,G
F,21,165,58,Tir à l'arc,G
M,21,164,58,Tir à l'arc,L
F,21,162,58,Tir à l'arc,L
F,21,162,58,Tir à l'arc,L
F,21,161,58,Tir à l'arc,L
F,21,161,58,Tir à l'arc,L
F,21,168,59,Tir à l'arc,L
F,21,168,59,Tir à l'arc,L
F,21,162,59,Tir à l'arc,L
M,21,174,60,Tir à l'arc,L
F,21,172,60,Tir à l'arc,L
F,21,172,60,Tir à l'arc,G
F,21,168,60,Tir à l'arc,L
M,21,167,60,Tir à l'arc,L
M,21,185,61,Tir à l'arc,L
M,21,182,61,Tir à l'arc,L
M,21,182,61,Tir à l'arc,L
F,21,173,61,Tir à l'arc,L
F,21,173,61,Tir à l'arc,L
F,21,167,61,Tir à l'arc,L
F,21,167,61,Tir à l'arc,L
F,21,165,61,Tir à l'arc,L
M,21,178,64,Tir à l'arc,L
M,21,178,64,Tir à l'arc,G
F,21,171,64,Tir à l'arc,L
F,21,162,64,Tir à l'arc,L
F,21,162,64,Tir à l'arc,L
F,21,174,65,Tir à l'arc,L
F,21,174,65,Tir à l'arc,L
F,21,173,65,Tir à l'arc,L
F,21,173,65,Tir à l'arc,L
M,21,173,65,Tir à l'arc,L
M,21,173,65,Tir à l'arc,L
F,21,162,66,Tir à l'arc,L
M,21,186,67,Tir à l'arc,L
M,21,186,67,Tir à l'arc,L
F,21,171,67,Tir à l'arc,L
F,21,171,67,Tir à l'arc,L
M,21,180,68,Tir à l'arc,L
M,21,180,68,Tir à l'arc,L
F,21,170,68,Tir à l'arc,L
M,21,178,69,Tir à l'arc,L
M,21,178,70,Tir à l'arc,G
M,21,178,70,Tir à l'arc,L
F,21,176,70,Tir à l'arc,L
F,21,176,70,Tir à l'arc,L
F,21,169,70,Tir à l'arc,L
F,21,169,70,Tir à l'arc,G
M,21,178,71,Tir à l'arc,L
M,21,170,71,Tir à l'arc,G
M,21,186,72,Tir à l'arc,G
M,21,186,72,Tir à l'arc,L
F,21,170,72,Tir à l'arc,G
F,21,170,72,Tir à l'arc,G
F,21,167,72,Tir à l'arc,L
M,21,180,73,Tir à l'arc,L
M,21,180,73,Tir à l'arc,L
M,21,180,74,Tir à l'arc,L
M,21,180,74,Tir à l'arc,L
M,21,178,74,Tir à l'arc,L
F,21,175,74,Tir à l'arc,L
F,21,175,74,Tir à l'arc,L
M,21,174,74,Tir à l'arc,G
M,21,168,74,Tir à l'arc,L
M,21,168,74,Tir à l'arc,L
F,21,165,74,Tir à l'arc,L
M,21,183,75,Tir à l'arc,L
M,21,183,75,Tir à l'arc,L
M,21,182,75,Tir à l'arc,L
M,21,182,75,Tir à l'arc,L
F,21,178,75,Tir à l'arc,L
M,21,181,76,Tir à l'arc,L
M,21,189,77,Tir à l'arc,L
M,21,181,78,Tir à l'arc,L
M,21,180,78,Tir à l'arc,L
M,21,186,79,Tir à l'arc,L
M,21,186,79,Tir à l'arc,L
M,21,177,79,Tir à l'arc,G
M,21,177,79,Tir à l'arc,G
F,21,173,79,Tir à l'arc,L
F,21,173,79,Tir à l'arc,L
M,21,183,80,Tir à l'arc,L
M,21,183,80,Tir à l'arc,L
M,21,180,80,Tir à l'arc,L
M,21,180,80,Tir à l'arc,L
M,21,174,80,Tir à l'arc,L
M,21,174,80,Tir à l'arc,G
M,21,180,82,Tir à l'arc,L
M,21,180,82,Tir à l'arc,L
M,21,190,83,Tir à l'arc,L
M,21,190,83,Tir à l'arc,L
M,21,178,84,Tir à l'arc,L
M,21,178,84,Tir à l'arc,L
M,21,177,84,Tir à l'arc,G
M,21,177,84,Tir à l'arc,L
M,21,188,90,Tir à l'arc,L
M,21,188,90,Tir à l'arc,L
M,21,174,90,Tir à l'arc,L
M,21,174,90,Tir à l'arc,L
F,21,165,91,Tir à l'arc,L
M,21,184,92,Tir à l'arc,L
M,21,187,96,Tir à l'arc,L
M,21,187,96,Tir à l'arc,G
M,21,178,98,Tir à l'arc,G
M,21,178,98,Tir à l'arc,L
F,22,162,42,Tir à l'arc,L
M,22,176,46,Tir à l'arc,L
F,22,167,49,Tir à l'arc,L
F,22,153,49,Tir à l'arc,L
F,22,153,49,Tir à l'arc,L
F,22,167,50,Tir à l'arc,L
F,22,173,51,Tir à l'arc,L
F,22,156,51,Tir à l'arc,L
F,22,160,52,Tir à l'arc,L
F,22,160,52,Tir à l'arc,L
F,22,158,53,Tir à l'arc,L
F,22,158,53,Tir à l'arc,G
F,22,153,53,Tir à l'arc,L
F,22,153,53,Tir à l'arc,L
F,22,164,54,Tir à l'arc,G
F,22,162,54,Tir à l'arc,L
F,22,162,54,Tir à l'arc,L
F,22,160,54,Tir à l'arc,L
F,22,160,54,Tir à l'arc,L
F,22,170,55,Tir à l'arc,L
F,22,170,55,Tir à l'arc,G
F,22,170,57,Tir à l'arc,L
F,22,170,57,Tir à l'arc,L
F,22,169,58,Tir à l'arc,L
F,22,169,58,Tir à l'arc,L
F,22,168,58,Tir à l'arc,L
M,22,174,59,Tir à l'arc,L
M,22,174,59,Tir à l'arc,L
M,22,172,59,Tir à l'arc,L
M,22,172,59,Tir à l'arc,L
F,22,170,59,Tir à l'arc,L
M,22,170,59,Tir à l'arc,L
F,22,166,59,Tir à l'arc,L
F,22,164,60,Tir à l'arc,L
F,22,164,60,Tir à l'arc,L
F,22,170,61,Tir à l'arc,L
F,22,163,61,Tir à l'arc,L
F,22,163,61,Tir à l'arc,L
F,22,170,62,Tir à l'arc,L
F,22,170,62,Tir à l'arc,G
F,22,167,62,Tir à l'arc,L
F,22,176,63,Tir à l'arc,L
F,22,176,63,Tir à l'arc,L
M,22,172,63,Tir à l'arc,L
M,22,172,63,Tir à l'arc,G
M,22,171,63,Tir à l'arc,L
F,22,163,63,Tir à l'arc,L
F,22,160,63,Tir à l'arc,L
F,22,160,63,Tir à l'arc,L
F,22,170,64,Tir à l'arc,L
F,22,168,64,Tir à l'arc,L
F,22,168,64,Tir à l'arc,L
F,22,168,64,Tir à l'arc,G
F,22,168,64,Tir à l'arc,G
F,22,167,64,Tir à l'arc,L
M,22,164,65,Tir à l'arc,L
M,22,164,65,Tir à l'arc,L
M,22,170,66,Tir à l'arc,L
M,22,178,67,Tir à l'arc,L
M,22,178,67,Tir à l'arc,L
M,22,183,68,Tir à l'arc,L
M,22,175,68,Tir à l'arc,L
F,22,171,68,Tir à l'arc,L
F,22,171,68,Tir à l'arc,G
F,22,165,69,Tir à l'arc,L
F,22,165,69,Tir à l'arc,L
M,22,183,70,Tir à l'arc,L
M,22,180,70,Tir à l'arc,L
M,22,178,70,Tir à l'arc,L
M,22,178,70,Tir à l'arc,L
M,22,177,70,Tir à l'arc,L
M,22,177,70,Tir à l'arc,G
M,22,176,70,Tir à l'arc,L
F,22,170,70,Tir à l'arc,L
F,22,168,70,Tir à l'arc,L
M,22,172,70.5,Tir à l'arc,L
M,22,172,70.5,Tir à l'arc,L
M,22,179,71,Tir à l'arc,L
M,22,175,71,Tir à l'arc,L
M,22,175,71,Tir à l'arc,L
M,22,181,72,Tir à l'arc,L
M,22,181,72,Tir à l'arc,L
M,22,180,72,Tir à l'arc,L
M,22,180,72,Tir à l'arc,L
M,22,176,72,Tir à l'arc,L
M,22,175,72,Tir à l'arc,L
M,22,175,72,Tir à l'arc,L
M,22,175,73,Tir à l'arc,L
M,22,175,73,Tir à l'arc,L
F,22,168,73,Tir à l'arc,L
F,22,168,73,Tir à l'arc,L
M,22,182,75,Tir à l'arc,L
M,22,182,75,Tir à l'arc,L
M,22,179,75,Tir à l'arc,L
F,22,169,76,Tir à l'arc,L
M,22,178,77,Tir à l'arc,L
M,22,185,78,Tir à l'arc,L
M,22,197,80,Tir à l'arc,L
M,22,197,80,Tir à l'arc,L
M,22,180,81,Tir à l'arc,L
M,22,172,81,Tir à l'arc,L
M,22,172,81,Tir à l'arc,L
M,22,184,84,Tir à l'arc,L
M,22,180,84,Tir à l'arc,L
M,22,180,84,Tir à l'arc,L
M,22,182,85,Tir à l'arc,L
M,22,182,85,Tir à l'arc,L
M,22,182,85,Tir à l'arc,L
M,22,180,87,Tir à l'arc,L
M,22,180,89,Tir à l'arc,L
M,22,180,89,Tir à l'arc,L
F,22,167,89,Tir à l'arc,L
F,22,167,89,Tir à l'arc,L
M,22,185,90,Tir à l'arc,L
M,22,185,90,Tir à l'arc,L
M,22,175,90,Tir à l'arc,L
M,22,175,90,Tir à l'arc,L
M,22,188,92,Tir à l'arc,L
M,22,184,96,Tir à l'arc,L
M,22,184,96,Tir à l'arc,L
F,23,167,45,Tir à l'arc,L
F,23,157,48,Tir à l'arc,L
F,23,157,48,Tir à l'arc,L
F,23,157,48,Tir à l'arc,L
F,23,161,50,Tir à l'arc,L
F,23,155,50,Tir à l'arc,L
F,23,155,50,Tir à l'arc,G
F,23,175,52,Tir à l'arc,L
F,23,165,52,Tir à l'arc,L
F,23,167,53,Tir à l'arc,L
F,23,167,53,Tir à l'arc,L
F,23,168,54,Tir à l'arc,L
F,23,168,54,Tir à l'arc,L
F,23,165,54,Tir à l'arc,L
F,23,170,55,Tir à l'arc,L
F,23,170,55,Tir à l'arc,L
F,23,162,56,Tir à l'arc,L
M,23,178,58,Tir à l'arc,L
M,23,178,58,Tir à l'arc,L
F,23,168,58,Tir à l'arc,L
F,23,168,58,Tir à l'arc,L
F,23,161,58,Tir à l'arc,L
F,23,168,59,Tir à l'arc,L
F,23,168,59,Tir à l'arc,G
F,23,167,59,Tir à l'arc,L
F,23,165,59,Tir à l'arc,L
F,23,165,59,Tir à l'arc,L
F,23,170,60,Tir à l'arc,L
F,23,170,60,Tir à l'arc,G
F,23,166,60,Tir à l'arc,L
F,23,166,60,Tir à l'arc,L
F,23,164,60,Tir à l'arc,L
F,23,164,60,Tir à l'arc,L
F,23,169,62,Tir à l'arc,L
F,23,168,62,Tir à l'arc,L
F,23,168,62,Tir à l'arc,L
F,23,166,62,Tir à l'arc,L
F,23,166,62,Tir à l'arc,L
M,23,165,62,Tir à l'arc,L
M,23,165,62,Tir à l'arc,L
F,23,165,62,Tir à l'arc,L
F,23,165,62,Tir à l'arc,L
M,23,180,63,Tir à l'arc,L
M,23,180,63,Tir à l'arc,L
F,23,176,63,Tir à l'arc,L
F,23,176,63,Tir à l'arc,L
M,23,175,63,Tir à l'arc,L
M,23,175,63,Tir à l'arc,G
M,23,171,63,Tir à l'arc,L
M,23,170,63,Tir à l'arc,L
F,23,170,63,Tir à l'arc,L
F,23,169,63,Tir à l'arc,L
F,23,169,63,Tir à l'arc,G
F,23,162,63,Tir à l'arc,G
F,23,162,63,Tir à l'arc,G
F,23,168,64,Tir à l'arc,L
F,23,168,64,Tir à l'arc,L
F,23,162,64,Tir à l'arc,L
F,23,162,64,Tir à l'arc,G
M,23,179,65,Tir à l'arc,L
M,23,179,65,Tir à l'arc,L
M,23,178,65,Tir à l'arc,L
M,23,178,65,Tir à l'arc,L
M,23,178,65,Tir à l'arc,L
F,23,171,65,Tir à l'arc,L
F,23,171,65,Tir à l'arc,L
M,23,169,65,Tir à l'arc,L
M,23,169,65,Tir à l'arc,L
F,23,167,65,Tir à l'arc,L
F,23,167,65,Tir à l'arc,L
F,23,163,65,Tir à l'arc,L
F,23,163,65,Tir à l'arc,L
F,23,160,65,Tir à l'arc,L
F,23,160,65,Tir à l'arc,G
F,23,175,67,Tir à l'arc,L
F,23,174,67,Tir à l'arc,L
F,23,167,67,Tir à l'arc,L
F,23,167,67,Tir à l'arc,L
F,23,171,68,Tir à l'arc,L
F,23,170,68,Tir à l'arc,L
F,23,170,68,Tir à l'arc,L
F,23,183,69,Tir à l'arc,L
F,23,183,69,Tir à l'arc,L
M,23,171,69,Tir à l'arc,L
M,23,171,69,Tir à l'arc,G
F,23,162,69,Tir à l'arc,L
M,23,184,70,Tir à l'arc,L
M,23,184,70,Tir à l'arc,L
M,23,178,70,Tir à l'arc,L
M,23,178,70,Tir à l'arc,G
M,23,178,70,Tir à l'arc,L
M,23,178,70,Tir à l'arc,G
M,23,176,70,Tir à l'arc,L
M,23,175,70,Tir à l'arc,L
M,23,175,70,Tir à l'arc,L
M,23,174,70,Tir à l'arc,L
M,23,173,70,Tir à l'arc,L
M,23,173,70,Tir à l'arc,L
M,23,173,70,Tir à l'arc,L
M,23,170,70,Tir à l'arc,L
M,23,170,70,Tir à l'arc,G
F,23,168,70,Tir à l'arc,L
F,23,168,70,Tir à l'arc,L
F,23,175,72,Tir à l'arc,G
F,23,174,72,Tir à l'arc,L
F,23,175,73,Tir à l'arc,L
